ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (mb),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0462,0.8581,9.9559,-0.3951,0.112,9.8014,-0.5463,-0.5682,0.6584,0.1992,-0.0418,0.049,151.1885,1.03,-16.95,-50.06,178.97,-1.79,1.46,2.0,985.64,56.996,55.75388,48.742035,598.48,NaN,,0.0,51.419495,,10 / 34,14,2020-04-13 19:15:10:080
1.6538,0.892,10.7218,-0.3778,-0.4043,9.7944,-0.85,-1.4423,-1.4514,0.4551,-0.4279,0.4198,176.3507,0.14,-12.14,-48.96,184.28,0.34,-1.07,2.0,985.66,41.18,55.75388,48.742035,598.48,NaN,,0.0,51.419495,,10 / 34,513,2020-04-13 19:15:10:579
-0.6349,1.3131,8.4317,0.0036,1.4939,9.6956,0.4715,0.2884,0.7031,0.0891,-0.3036,-0.1548,176.3507,1.87,-23.5,-47.4,179.51,-6.97,2.62,2.0,985.68,36.918,55.75388,48.742012,625.19,NaN,,0.0,48.28412,,8 / 26,1013,2020-04-13 19:15:11:079
1.473,1.1552,10.3031,0.5308,1.9418,9.6012,-0.8633,1.0445,0.6886,-0.0276,-0.0072,-0.008,114.8236,0.38,-26.9,-45.64,193.73,-11.58,-5.26,2.0,985.68,50.518,55.75388,48.742012,625.19,NaN,,0.0,48.28412,,8 / 26,1513,2020-04-13 19:15:11:579
0.0944,2.374,10.2465,-0.0141,1.5634,9.6846,0.4201,-0.4891,-1.7121,-0.478,0.3234,0.391,106.863,0.51,-27.33,-44.79,188.73,-9.16,-2.54,2.0,985.65,53.47,55.75389,48.742023,629.24,NaN,,0.0,46.27571,,8 / 26,2012,2020-04-13 19:15:12:078
0.3778,1.81,10.2464,0.4134,2.0976,9.5742,0.7818,0.6816,1.2418,-0.1774,-0.0368,0.073,61.9036,-1.07,-28.68,-46.58,181.36,-12.53,-1.74,2.0,985.65,52.697,55.75389,48.742023,629.24,NaN,,0.0,46.27571,,8 / 26,2513,2020-04-13 19:15:12:579
0.4176,1.27,10.0432,-0.4439,0.4664,9.7888,-0.6639,-0.9775,-0.0992,0.3964,0.2387,0.0501,41.5955,3.38,-19.22,-50.45,182.52,-2.73,2.6,2.0,985.67,50.918,55.753895,48.742027,631.84,NaN,,0.0,46.33565,,8 / 26,3014,2020-04-13 19:15:13:080
-0.7103,0.6997,8.4678,-0.2985,0.6229,9.7857,0.2164,-0.2133,1.5076,0.2084,-0.15,0.1173,20.9307,0.17,-18.96,-50.8,174.35,-3.64,1.75,2.0,985.68,49.596,55.753895,48.742027,631.84,NaN,,0.0,46.33565,,8 / 26,3513,2020-04-13 19:15:13:579
0.8386,0.9621,8.8218,0.0761,0.1135,9.809,-0.8145,-0.9053,0.9302,0.2065,0.0431,-0.0746,18.8482,-0.43,-15.73,-52.08,180.03,-0.99,-0.01,2.0,985.68,55.089,55.753902,48.74203,638.09,NaN,,0.0,47.93915,,8 / 26,4013,2020-04-13 19:15:14:079
-0.4324,0.7223,8.5971,-0.6359,0.726,9.7624,0.0122,0.3864,-0.0434,0.0928,-0.0731,0.1523,17.1213,4.18,-18.49,-52.36,182.48,-4.24,3.73,2.0,985.68,42.673,55.753902,48.74203,638.09,NaN,,0.0,47.93915,,8 / 26,4513,2020-04-13 19:15:14:579
